doctype,filename,url,title,operating_unit,project_id,document_category,pdc_document_type,document_id,modified,created,UN Languages,id,last_update,eval1,eval2,score,pages,project_title_cond,summary_desc_cond,project_id_cond,implementing_partner_cond,start_date_cond,end_date_cond,budget_cond,concept_note_cond,project_document_cond,awp_cond,v1,v2
document deleted,PRODOC_ Electoral Security Project.pdf,Document deleted,Proejct Document,SOM,00123661,Project,PRODOC,ATLASPDC-4-111044,03/10/20,1/15/2020,,0,16/03/21,ok,ok,5.0,32.0,True,True,False,True,True,False,True,True,True,False,ok,ok
document deleted,200206_ProdocFinal_firmado.pdf,Document deleted,PRODOC Iniciativas Gerenciales,MEX,00123665,Project,PRODOC,ATLASPDC-4-121007,8/24/2020,07/02/20,,0,16/03/21,ok,ok,1.0,38.0,False,False,False,False,False,False,True,True,True,False,ok,ok
document deleted,Prodoc ONDP firmado.pdf,Document deleted,Prodoc ONDP firmado,DOM,00123705,Project,PRODOC,ATLASPDC-4-123439,9/17/2020,9/17/2020,,0,16/03/21,ok,ok,1.0,24.0,False,False,False,False,True,False,False,True,False,False,ok,ok
document deleted,00118905_PRODOC FIRMADO.pdf,Document deleted,PRODOC,MEX,00123708,Project,PRODOC,ATLASPDC-4-130307,02/03/21,02/03/21,,0,16/03/21,ok,ok,1.0,60.0,False,False,False,False,False,False,True,True,True,False,ok,ok
document deleted,PI 123819 - DESARROLLO LOCA FIRMADO.pdf,Document deleted,PLAN DE INICIAION PARA EL DESARROLLO LOCAL,PAN,00123819,Project,PRODOC,ATLASPDC-4-109140,10/02/20,12/05/19,,0,16/03/21,ok,ok,2.0,18.0,False,False,False,False,True,False,True,True,False,False,ok,ok
document deleted,Initiation Plan Polish Challenge Fund final.docx,Document deleted,Initiation Plan,SVK,00123851,Project,PRODOC,ATLASPDC-4-111089,1/15/2020,1/15/2020,,0,16/03/21,ok,ok,6.0,10.0,True,True,True,True,False,True,True,True,False,False,ok,ok
document deleted,Signed Initiation Plan Polish Challange Fund.pdf,Document deleted,Signed Initiation Plan Polish Challange Fund,SVK,00123851,Project,PRODOC,ATLASPDC-4-119798,06/03/20,06/03/20,,0,16/03/21,ok,ok,6.0,8.0,True,True,True,True,False,True,True,True,False,False,ok,ok
document deleted,Prodoc suscrito.pdf,Document deleted,Impulso de la Cooperación Sur Sur y Triangular,ECU,00123906,Project,PRODOC,ATLASPDC-4-84978,12/09/19,05/03/18,,0,16/03/21,ok,ok,1.0,30.0,False,False,False,False,True,False,False,True,False,False,ok,ok
pdf,BRA19G42 - Revision - 2019.12.19 - Initial signed.pdf,https://info.undp.org/docs/pdc/Documents/BRA/BRA19G42 - Revision - 2019.12.19 - Initial signed.pdf,BRA19G42 - Revision - 2019.12.19 - Initial signed,BRA,00123908,Project,PRODOC,ATLASPDC-4-109663,12/20/2019,12/20/2019,,0,16/03/21,good,ok,7.0,35.0,True,True,True,True,True,True,True,True,True,False,ok,ok
document deleted,Museo a la memoria y Derechos Humanos FINALISIMO.pdf,Document deleted,Development Services -Chiile,SLV,00124002,Project,PRODOC,ATLASPDC-4-109220,12/09/19,12/09/19,,0,16/03/21,ok,ok,1.0,14.0,False,True,False,False,False,False,False,True,False,False,ok,ok
document deleted,00124002 Documento de Proyecto.pdf,Document deleted,00124002 Documento de Proyecto,SLV,00124002,Project,PRODOC,ATLASPDC-4-109543,12/18/2019,12/18/2019,,0,16/03/21,ok,ok,0.0,14.0,False,False,False,False,False,False,False,True,False,False,ok,ok
pdf,PRODOC del Proyecto.PDF,https://info.undp.org/docs/pdc/Documents/BOL/PRODOC del Proyecto.PDF,Documento de Proyecto,BOL,00124004,Project,PRODOC,ATLASPDC-4-126099,11/25/2020,11/25/2020,,0,16/03/21,bad,ok,1.0,36.0,False,False,False,False,False,False,True,True,False,False,ok,ok
document deleted,UNDP_Allocation letter + NGOs FTR_Batch_1.pdf,Document deleted,UNDP_Allocation letter  NGOs FTR_Batch_1,SSD,00124007,Project,PRODOC,ATLASPDC-4-118930,05/09/20,05/09/20,,0,16/03/21,ok,not ok,1.0,4.0,False,False,False,False,False,False,True,False,True,False,ok,ok
document deleted,UNDP_Allocation letter + NGOs FTR_Batch_2.pdf,Document deleted,UNDP_Allocation letter  NGOs FTR_Batch_2,SSD,00124007,Project,PRODOC,ATLASPDC-4-118931,05/09/20,05/09/20,,0,16/03/21,ok,not ok,0.0,4.0,False,False,False,False,False,False,False,False,True,False,ok,ok
document deleted,PBF-GB - Stabilization and System Reforms V11- Final.Signed.pdf,Document deleted,Political Stabilization and System Reforms prodoc,GNB,00124116,Project,PRODOC,ATLASPDC-4-116266,5/27/2020,03/05/20,,0,16/03/21,ok,ok,6.0,45.0,False,True,True,True,True,True,True,True,True,False,ok,ok
document deleted,DSA firmado.pdf,Document deleted,DSA firmado,DOM,00124125,Project,PRODOC,ATLASPDC-4-116300,03/05/20,03/05/20,,0,16/03/21,ok,ok,3.0,18.0,False,True,False,False,True,True,False,True,False,False,ok,ok
document deleted,IP PPG Montenegro BD Mainstreaming_PIMS 6461_13Dec2019 (1).docx,Document deleted,UNDP-GEF Initiation Plan template GEF-7,MNE,00124249,Project,PRODOC,ATLASPDC-4-110214,01/03/21,12/27/2019,,0,16/03/21,ok,ok,6.0,35.0,True,True,True,False,True,True,True,True,True,False,ok,ok
document deleted,PRODOC_00119275.pdf,Document deleted,PRODOC_00119275,MEX,00124268,Project,PRODOC,ATLASPDC-4-115482,2/13/2020,2/13/2020,,0,16/03/21,ok,ok,2.0,59.0,False,False,False,False,True,False,True,True,True,False,ok,ok
document deleted,00119275_minuta PAC.pdf,Document deleted,00119275_minuta PAC,MEX,00124268,Project,PRODOC,ATLASPDC-4-120676,6/25/2020,6/25/2020,,0,16/03/21,ok,not ok,0.0,1.0,False,False,False,False,False,False,False,True,True,False,ok,ok
document deleted,Prodoc.pdf,Document deleted,Prodoc,COD,00124292,Project,PRODOC,ATLASPDC-4-74829,03/05/20,12/15/2017,,0,16/03/21,ok,ok,5.0,21.0,True,True,True,False,True,True,False,True,False,False,ok,ok
document deleted,PIP Saameynta Durable Solutions.pdf,Document deleted,PIP Saameynta Durable Solutions,SOM,00124295,Project,PRODOC,ATLASPDC-4-116360,03/09/20,03/09/20,,0,16/03/21,ok,ok,5.0,6.0,True,True,True,True,False,False,True,True,True,False,ok,ok
